HIP	Vmag	_RA.icrs	_DE.icrs
 	mag	deg	deg
------	-----	------------	------------
324	8.53	1.04240492	17.43664346
323	7.38	1.04269774	49.87018067
325	8.56	1.04397341	39.1199022
326	8.76	1.0448264	11.26437465
327	9.56	1.04622014	-4.92611155
328	7.09	1.04959221	-30.13491284
329	9.83	1.05172922	-10.14111743
330	5.9	1.05692695	62.2876637
331	10.8	1.05953277	-26.95238535
332	8.41	1.0610331	-34.41471581
333	9.05	1.06301316	-17.42489042
334	8.79	1.06383501	60.15501525
335	8.88	1.06606995	14.08153769
336	7.59	1.06663178	65.15298677
337	9.6	1.06688604	-25.9154517
338	10.66	1.06734521	66.34912577
339	8.55	1.06881767	-59.31519061
340	8.11	1.07385149	-43.98845664
341	9.44	1.07749703	-23.25396474
342	9.6	1.07905906	-20.56887147
343	5.78	1.08247517	-16.52903618
344	10.66	1.08363478	40.10994839
345	6.38	1.08465585	-29.2688217
346	8.8	1.08805508	-53.90943409
347	7.79	1.08872964	54.27459115
348	8.6	1.089593	12.95729244
349	7.77	1.09545206	-29.3815729
350	10.37	1.09914303	-57.32269441
351	9.8	1.10366923	-47.06804775
352	10.42	1.1121099	58.06869221
353	11.63	1.11182891	-44.56728958
354	9.22	1.12335143	51.8292916
355	4.99	1.12549376	-10.5095233
356	8.43	1.12559774	-6.9653791
357	7.33	1.12728753	-72.89732067
358	8.93	1.13951816	-76.34649206
359	9.09	1.14616857	-76.87357395
360	9.26	1.14548856	71.96854327
361	8.73	1.14788399	-71.69500601
362	9.18	1.15061437	-19.43789263
363	8.12	1.15169409	43.55131238
364	9.26	1.15202694	-15.88922835
366	8.94	1.15250006	-31.16904991
365	6.11	1.15244468	42.09253054
367	9.13	1.15563591	-81.34531802
368	7.9	1.15612611	2.93722808
369	9.34	1.15889005	29.72227976
370	7.13	1.15943973	-51.58332894
371	10.82	1.16039064	-50.03592514
372	7.46	1.16620281	-70.40426031
373	8.72	1.1659828	-8.18495322
374	7.02	1.16699797	34.26512413
375	9.08	1.16765668	34.27136004
376	8.37	1.17139606	6.52244947
377	5.59	1.17211746	-71.43689145
