HIP	RA	DEC	Bayer	Cst
13197	0	0	gam01	For
13202	0	0	gam02	For
13327	0	0	sig  	Ari
13225	0	0	eta02	For
13288	0	0	tau02	Eri
13265	0	0	eta03	For
13141	0	0	nu.  	Hor
13531	0	0	tau  	Per
      	0	0	tau  	Per
13490	0	0	     	Per
13579	0	0	rho01	Ari
13473	0	0	psi  	For
13654	0	0	     	Ari
13702	0	0	rho  	Ari
13244	0	0	nu.  	Hyi
13775	0	0	     	Per
13701	0	0	eta  	Eri
13834	0	0	     	Ari
13879	0	0	pi.  	Per
13905	0	0	     	Per
13782	0	0	     	Eri
13914	0	0	eps  	Ari
13835	0	0	     	Eri
13954	0	0	lam  	Cet
13847	0	0	the01	Eri
13951	0	0	     	Eri
13942	0	0	zet  	For
14040	0	0	     	Eri
14109	0	0	     	Ari
14060	0	0	rho01	Eri
14150	0	0	     	Ari
13884	0	0	bet  	Hor
14143	0	0	     	Cet
14135	0	0	alf  	Cet
14086	0	0	eps  	For
14328	0	0	gam  	Per
14168	0	0	rho02	Eri
14382	0	0	k    	Per
14146	0	0	tau03	Eri
14354	0	0	rho  	Per
14293	0	0	rho03	Eri
14376	0	0	     	Ari
14240	0	0	mu.  	Hor
14576	0	0	bet  	Per
14632	0	0	iot  	Per
14514	0	0	     	Ari
14131	0	0	the  	Hyi
14586	0	0	     	Ari
14668	0	0	kap  	Per
14677	0	0	     	Ari
14817	0	0	ome  	Per
14838	0	0	del  	Ari
14893	0	0	     	Ari
14915	0	0	g    	Tau
14954	0	0	     	Cet
14879	0	0	alf  	For
15110	0	0	zet  	Ari
15338	0	0	     	Per
15197	0	0	zet  	Eri
15404	0	0	     	Per
15244	0	0	     	Eri
15444	0	0	     	Per
15383	0	0	     	Cet
15382	0	0	     	Eri
15514	0	0	     	Ari
15457	0	0	kap  	Cet
15557	0	0	     	Ari
15648	0	0	l    	Per
15474	0	0	tau04	Eri
15627	0	0	tau  	Ari
15330	0	0	zet01	Ret
15619	0	0	     	Cet
15510	0	0	e    	Eri
15371	0	0	zet02	Ret
15696	0	0	     	Ari
15737	0	0	     	Ari
15863	0	0	alf  	Per
15861	0	0	     	Ari
15201	0	0	iot  	Hyi
15870	0	0	     	Ari
15900	0	0	omi  	Tau
16083	0	0	ksi  	Tau
15987	0	0	chi01	For
16244	0	0	     	Per
16181	0	0	     	Ari
16335	0	0	sig  	Per
16112	0	0	chi02	For
16156	0	0	chi03	For
16322	0	0	s    	Tau
16369	0	0	f    	Tau
16499	0	0	     	Per
16341	0	0	v    	Eri
16511	0	0	t    	Tau
16245	0	0	kap  	Ret
16537	0	0	eps  	Eri
16664	0	0	     	Tau
16826	0	0	psi  	Per
16611	0	0	tau05	Eri
16859	0	0	     	Tau
16803	0	0	     	Eri
16852	0	0	     	Tau
16870	0	0	y    	Eri
17027	0	0	     	Eri
17007	0	0	tau  	For
17103	0	0	     	Tau
17181	0	0	     	Tau
17167	0	0	     	Eri
17358	0	0	del  	Per
17313	0	0	o    	Per
17309	0	0	     	Tau
17448	0	0	omi  	Per
17408	0	0	     	Tau
17304	0	0	del  	For
17529	0	0	nu.  	Per
17378	0	0	del  	Eri
17489	0	0	     	Tau
17499	0	0	     	Tau
17351	0	0	h    	Eri
17527	0	0	     	Tau
17531	0	0	q    	Tau
17457	0	0	     	Eri
17959	0	0	gam  	Cam
17573	0	0	     	Tau
17506	0	0	     	Eri
17579	0	0	     	Tau
17588	0	0	     	Tau
17563	0	0	u    	Tau
17608	0	0	     	Tau
17593	0	0	pi.  	Eri
17702	0	0	eta  	Tau
17618	0	0	sig  	For
17651	0	0	tau06	Eri
17771	0	0	e    	Tau
17440	0	0	bet  	Ret
17832	0	0	     	Tau
17886	0	0	n    	Per
17847	0	0	     	Tau
17851	0	0	     	Tau
17717	0	0	tau07	Eri
17738	0	0	rho  	For
17797	0	0	f    	Eri
17874	0	0	g    	Eri
18089	0	0	     	Tau
18141	0	0	     	Eri
18246	0	0	zet  	Per
17678	0	0	gam  	Hyi
18350	0	0	X    	Per
18453	0	0	A    	Per
18255	0	0	w    	Eri
18216	0	0	tau08	Eri
18213	0	0	i    	Eri
18471	0	0	     	Tau
18532	0	0	eps  	Per
18485	0	0	     	Tau
18614	0	0	ksi  	Per
18543	0	0	gam  	Eri
18724	0	0	lam  	Tau
18673	0	0	tau09	Eri
18788	0	0	     	Eri
18597	0	0	del  	Ret
18907	0	0	nu.  	Tau
19009	0	0	     	Tau
18957	0	0	     	Tau
19038	0	0	A01  	Tau
19167	0	0	lam  	Per
19076	0	0	A02  	Tau
18744	0	0	gam  	Ret
18772	0	0	iot  	Ret
19171	0	0	     	Tau
19205	0	0	psi  	Tau
19343	0	0	c    	Per
19302	0	0	     	Per
19335	0	0	     	Per
19388	0	0	     	Tau
19513	0	0	p    	Tau
19483	0	0	     	Eri
19554	0	0	     	Tau
19587	0	0	omi01	Eri
19515	0	0	del  	Hor
19812	0	0	mu.  	Per
19811	0	0	f    	Per
19719	0	0	     	Tau
19740	0	0	     	Tau
19777	0	0	A    	Eri
19877	0	0	     	Tau
19860	0	0	mu.  	Tau
20070	0	0	b    	Per
19849	0	0	omi02	Eri
19747	0	0	alf  	Hor
19990	0	0	ome  	Tau
20087	0	0	     	Tau
20234	0	0	b02  	Per
19780	0	0	alf  	Ret
19893	0	0	gam  	Dor
20171	0	0	     	Tau
20186	0	0	     	Tau
20252	0	0	     	Per
20205	0	0	gam  	Tau
20042	0	0	ups04	Eri
20250	0	0	phi  	Tau
20215	0	0	     	Tau
20354	0	0	d    	Per
20219	0	0	h    	Tau
19921	0	0	eps  	Ret
20261	0	0	     	Tau
20271	0	0	d    	Eri
20400	0	0	     	Tau
20430	0	0	chi  	Tau
20020	0	0	the  	Ret
20455	0	0	del  	Tau
20484	0	0	     	Tau
20579	0	0	     	Per
20533	0	0	     	Tau
20591	0	0	     	Per
20542	0	0	     	Tau
20522	0	0	r    	Tau
20507	0	0	ksi  	Eri
20635	0	0	kap  	Tau
20641	0	0	     	Tau
20648	0	0	     	Tau
20661	0	0	     	Tau
20711	0	0	ups  	Tau
20535	0	0	d    	Eri
20713	0	0	     	Tau
20384	0	0	eta  	Ret
20732	0	0	pi.  	Tau
20789	0	0	     	Tau
20877	0	0	     	Tau
20873	0	0	     	Tau
20889	0	0	eps  	Tau
20885	0	0	the01	Tau
20894	0	0	the02	Tau
20901	0	0	b    	Tau
20884	0	0	     	Eri
21148	0	0	     	Cam
20995	0	0	     	Tau
20049	0	0	del  	Men
21039	0	0	     	Tau
21036	0	0	     	Tau
21082	0	0	     	Tau
21137	0	0	     	Tau
21242	0	0	m    	Per
21139	0	0	     	Eri
21060	0	0	del  	Cae
21273	0	0	rho  	Tau
21278	0	0	     	Eri
21296	0	0	     	Eri
21248	0	0	ups01	Eri
21476	0	0	e    	Per
20297	0	0	nu.  	Men
21421	0	0	alf  	Tau
21402	0	0	d    	Tau
21444	0	0	nu.  	Eri
21393	0	0	ups02	Eri
21281	0	0	alf  	Dor
21730	0	0	     	Cam
21727	0	0	     	Cam
21515	0	0	     	Eri
21588	0	0	     	Tau
21589	0	0	c01  	Tau
21547	0	0	c    	Eri
21673	0	0	sig01	Tau
21683	0	0	sig02	Tau
21594	0	0	l    	Eri
21735	0	0	     	Tau
21479	0	0	R    	Dor
21928	0	0	     	Per
21763	0	0	     	Eri
21881	0	0	tau  	Tau
21961	0	0	     	Tau
21770	0	0	alf  	Cae
21861	0	0	bet  	Cae
21986	0	0	     	Eri
22024	0	0	     	Eri
22287	0	0	     	Cam
21914	0	0	lam  	Pic
21998	0	0	lam  	Cae
22109	0	0	mu.  	Eri
22040	0	0	kap  	Dor
22263	0	0	     	Eri
22453	0	0	     	Aur
22441	0	0	     	Tau
22325	0	0	     	Eri
22280	0	0	zet  	Cae
21949	0	0	mu.  	Men
22783	0	0	alf  	Cam
22449	0	0	pi.03	Ori
22509	0	0	pi.02	Ori
22565	0	0	i    	Tau
22479	0	0	     	Eri
22678	0	0	     	Aur
22549	0	0	pi.04	Ori
22854	0	0	     	Cam
22667	0	0	omi01	Ori
22488	0	0	nu.  	Cae
22701	0	0	ome  	Eri
22730	0	0	     	Ori
22531	0	0	iot  	Pic
22534	0	0	iot  	Pic
22797	0	0	pi.05	Ori
23040	0	0	     	Cam
22833	0	0	g    	Ori
22845	0	0	pi.01	Ori
23015	0	0	iot  	Aur
22957	0	0	omi02	Ori
22881	0	0	R    	Eri
22958	0	0	b    	Eri
23068	0	0	     	Tau
23216	0	0	     	Cam
23088	0	0	k    	Tau
23179	0	0	     	Aur
23261	0	0	     	Aur
23123	0	0	pi.06	Ori
23268	0	0	     	Aur
23214	0	0	     	Tau
23522	0	0	bet  	Cam
23416	0	0	eps  	Aur
23221	0	0	     	Eri
23231	0	0	S    	Eri
23453	0	0	zet  	Aur
23364	0	0	psi  	Eri
23497	0	0	iot  	Tau
23734	0	0	     	Cam
23743	0	0	     	Cam
22871	0	0	eta  	Men
23474	0	0	     	Lep
23783	0	0	     	Aur
23607	0	0	     	Ori
23767	0	0	eta  	Aur
23680	0	0	W    	Ori
23482	0	0	eta01	Pic
23595	0	0	gam  	Cae
23596	0	0	gam  	Cae
23685	0	0	eps  	Lep
23835	0	0	m    	Tau
23794	0	0	     	Eri
23871	0	0	l    	Tau
23900	0	0	     	Tau
23883	0	0	     	Tau
23852	0	0	     	Ori
23649	0	0	eta02	Pic
23879	0	0	i    	Ori
23875	0	0	bet  	Eri
23983	0	0	h    	Ori
23941	0	0	     	Eri
23693	0	0	zet  	Dor
24010	0	0	     	Ori
23467	0	0	bet  	Men
24348	0	0	     	Cam
23972	0	0	lam  	Eri
24340	0	0	mu.  	Aur
24244	0	0	iot  	Lep
24331	0	0	rho  	Ori
