HD	RA	DEG	Bayer	Cst
4676	12.244625	16.9411389	     	Psc
4727	12.4534583	41.0789444	nu.  	And
4757	12.4712917	27.7103056	i    	Psc
4758	12.4716667	27.7102778	i    	Psc
4813	12.5321667	-10.6437778	phi02	Cet
4815	12.1463333	-74.9233611	lam  	Hyi
4919	12.671375	-50.9869167	rho  	Phe
5112	13.2520417	-1.1442222	     	Cet
5190	13.102125	-69.5035833	lam01	Tuc
5234	13.7507917	58.9728056	ups01	Cas
5267	13.64675	19.1884444	     	Psc
5268	13.57325	-8.7405556	     	Cet
5286	13.74175	23.6284444	     	And
5382	13.9938333	27.2093611	k    	Psc
5394	14.1770833	60.71675	gam  	Cas
5395	14.1667083	59.1811667	ups02	Cas
5437	14.0062917	-11.2665	phi03	Cet
5448	14.1879167	38.49925	mu.  	And
5457	13.75125	-69.5269722	lam02	Tuc
5516	14.3017917	23.41775	eta  	And
5575	14.4589583	28.9922222	h    	Psc
5679	15.5764167	81.8755833	ups  	Cep
5722	14.682875	-11.3799444	phi04	Cet
5737	14.6514583	-29.3574722	alf  	Scl
5848	17.184	86.2571111	     	UMi
6055	15.3259583	-38.9166389	ksi  	Scl
6116	15.7261667	41.3451944	     	And
6118	15.7045417	31.8043333	sig  	Psc
6178	15.6099167	-31.5520556	sig  	Scl
6186	15.7360833	7.8900833	eps  	Psc
6192	15.5075417	-57.0024167	ome  	Phe
6203	15.7608333	-4.8363611	     	Cet
6288	15.954	1.3669444	     	Cet
6386	16.21925	5.6563056	     	Psc
6397	16.2722917	14.946	     	Psc
6456	16.4205417	21.4732222	psi01	Psc
6457	16.4236667	21.4654722	psi01	Psc
6476	16.5466667	32.1815556	     	Psc
6479	16.4550833	4.9086667	     	Psc
6480	16.4643333	4.9094167	     	Psc
6482	16.40375	-9.97925	     	Cet
6530	16.521375	-9.8393611	     	Cet
6557	16.6400833	12.9559722	     	Psc
6582	17.0538333	54.9242222	mu.  	Cas
6595	16.5212917	-46.7185	bet  	Phe
6658	17.003	43.94225	     	And
6680	17.005	32.0121944	     	Psc
6695	16.9879583	20.7393333	psi02	Psc
6706	16.9421667	-9.7855833	     	Cet
6734	16.99825	1.9940833	     	Cet
6763	17.0930833	5.6502222	e    	Psc
6767	16.9492917	-41.4869444	ups  	Phe
6793	16.827375	-61.77525	iot  	Tuc
6805	17.1469167	-10.1819167	eta  	Cet
6811	17.3755	47.2418333	phi  	And
6829	17.663625	68.7786944	     	Cas
6860	17.4325	35.6208333	bet  	And
6882	17.0960833	-55.2458333	zet  	Phe
6903	17.455	19.6583889	psi03	Psc
6920	17.5785417	42.0815833	     	And
6961	17.7747083	55.1499444	the  	Cas
6972	17.922375	65.0188889	     	Cas
6976	17.5498333	-8.9060278	     	Cet
7014	17.6398333	2.4457222	     	Cet
7019	17.792875	37.7241389	     	And
7034	17.7782083	31.4247778	g    	Psc
7087	17.8632917	21.0346667	chi  	Psc
7106	17.9149583	30.0897222	tau  	Psc
