HR	Name	HD	RA	DEC	mag	Type
5726	          	137071	15 22 37.4	+39 34 53	5.5	 gK4
5727	  2Eta CrB	137107	15 23 12.3	+30 17 16	5.58	  G0V
5728	  2Eta CrB	137108	15 23 12.3	+30 17 16	6.08	  G3V
5729	   Rho Oct	137333	15 43 16.8	-84 27 55	5.57	  A2V
5730	   Kap1Aps	137387	15 31 30.8	-73 23 22	5.49	  B3IVe
5731	          	137389	15 22 37.3	+62 02 50	5.98	  A0pSi
5732	          	137390	15 24 05.1	+45 16 16	6.01	  K2III
5733	 51Mu 1Boo	137391	15 24 29.4	+37 22 38	4.31	  F2IVa
5734	 51Mu 2Boo	137392	15 24 30.9	+37 20 52	6.5	  G1V
5735	 13Gam UMi	137422	15 20 43.7	+71 50 02	3.05	  A3II-III
5736	          	137432	15 27 18.2	-36 46 04	5.45	  B4Vp
5737	          	137443	15 22 38.4	+63 20 29	5.79	 gK4
5738	          	137465	15 28 27.2	-51 35 51	6.1	  G2II
5739	  9Tau1Ser	137471	15 25 47.4	+15 25 41	5.17	  M1III
5740	          	137510	15 25 53.3	+19 28 51	6.27	  G0IV-V
5741	          	137704	15 26 17.4	+34 20 09	5.46	  K4III
5742	          	137709	15 29 24.3	-46 43 58	5.24	  K4III
5743	 32Zet1Lib	137744	15 28 15.4	-16 42 59	5.64	  K5III
5744	 12Iot Dra	137759	15 24 55.8	+58 57 58	3.29	  K2III
5745	          	137853	15 27 38.9	+25 06 06	6.02	 gM1
5746	 10    Ser	137898	15 28 38.2	+01 50 32	5.17	  A8IV
5747	  3Bet CrB	137909	15 27 49.7	+29 06 21	3.68	  F0p
5748	          	137928	15 26 32.5	+54 01 12	6.45	  A2IV
5749	          	138105	15 30 36.3	-20 43 42	6.22	  A5m
5750	 34Zet3Lib	138137	15 30 40.4	-16 36 34	5.82	 gG6
5751	          	138204	15 32 04.4	-38 37 23	6.25	  A7V
5752	          	138213	15 28 44.5	+47 12 05	6.15	  AmA3-F0V:
5753	          	138221	15 31 50.3	-32 52 52	6.46	  B7V
5754	          	138245	15 27 40.8	+62 16 32	6.5	  A5IV
5755	          	138265	15 27 51.4	+60 40 13	5.9	  K5III
5756	          	138268	15 31 43.4	-20 09 53	6.22	  A8V
5757	          	138289	15 39 18.3	-77 55 05	6.18	  K2IIICN0.5Ba-1
5758	          	138290	15 30 55.4	+08 34 45	6.57	  F4V w
5759	          	138338	15 28 56.8	+55 11 42	6.43	  A3m
5760	          	138341	15 30 22.7	+31 17 10	6.46	  A4IV
5761	          	138383	15 30 27.9	+36 48 15	6.37	  K0
5762	          	138413	15 32 36.7	-19 40 14	5.52	  A2m
5763	 52Nu 1Boo	138481	15 30 55.8	+40 49 59	5.02	  K4.5IIIbBa0.4
5764	 35Zet4Lib	138485	15 32 55.2	-16 51 10	5.5	  B2Vn
5765	          	138488	15 33 09.1	-24 29 22	7	  A3+F0V:
5766	          	138498	15 36 17.4	-65 36 48	6.51	  F3IV-V
5767	          	138505	15 34 01.6	-40 03 58	5.82	  M2III
5768	          	138524	15 29 21.2	+62 05 59	6.38	  K5
5769	          	138525	15 31 22.4	+36 36 59	6.38	  F6III
5770	 12Tau2Ser	138527	15 32 09.7	+16 03 22	6.22	  B9V
5771	   Eps TrA	138538	15 36 43.2	-66 19 01	4.11	  K1-2III
5772	 11    Ser	138562	15 32 57.9	-01 11 11	5.51	  K0III
5773	          	138564	15 34 20.9	-39 20 58	6.36	  B9V
5774	 53Nu 2Boo	138629	15 31 47.0	+40 53 58	5.02	  A5V
5775	 36    Lib	138688	15 34 37.3	-28 02 49	5.15	  K4III
5776	   Gam Lup	138690	15 35 08.5	-41 10 01	2.78	  B2IV
